Offset(P)            #Ptr   #Hnd Access Name
0x000000003dee7c50     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dee7da0      2      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\desktop.ini
0x000000003dee9070      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Desktop.ini
0x000000003dee9400      2      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\desktop.ini
0x000000003dee95d0     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003deea530      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Maintenance\Desktop.ini
0x000000003deea7e0      2      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance\Desktop.ini
0x000000003deeb3b0      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Desktop.ini
0x000000003deebc00      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini
0x000000003deee1a0     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wlanutil.dll
0x000000003deee3b0      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\desktop.ini
0x000000003deee500      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003deee6e0     33      1 RW---- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Internet Explorer\Recovery\Active\{6CCAFDA8-B579-11E8-9169-000C29B71F00}.dat
0x000000003deefaa0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\DeviceCenter.dll.mui
0x000000003deefcf0     11      0 R--r-d \Device\HarddiskVolume2\Program Files\Common Files\Microsoft Shared\ink\tiptsf.dll
0x000000003def03e0      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rasdlg.dll
0x000000003def0860     16      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Caches\{E2285AF7-D8A7-4FD4-9AAF-5BC3DFD5EE9D}.2.ver0x0000000000000001.db
0x000000003def09b0     12      0 R--r-- \Device\HarddiskVolume2\Windows\Fonts\segoeuii.ttf
0x000000003def2240      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu
0x000000003def2390      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Start Menu
0x000000003def2780      2      1 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu
0x000000003def2c80     17      1 RW-rwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db
0x000000003def2dd0      2      1 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu
0x000000003def2f20      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003def52d0      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\KernelBase.dll.mui
0x000000003def5860      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DeviceCenter.dll
0x000000003def5dd0     11      0 R--r-- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Themes\TranscodedWallpaper.jpg
0x000000003def5f20     17      1 RW-rwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db
0x000000003def78d0     17      1 RW-rwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db
0x000000003def7f20     17      1 RW-rwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db
0x000000003def8070     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\networkexplorer.dll
0x000000003def8bd0      2      0 R--rwd \Device\HarddiskVolume2\$Recycle.Bin\S-1-5-21-3257249986-1427659124-3779645052-1000\desktop.ini
0x000000003def8e20     17      1 RW-rwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db
0x000000003def9c80      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003def9dd0      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned
0x000000003defa100     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003defa520      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Libraries\desktop.ini
0x000000003defaa60     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003defac90      1      1 RW-r-d \Device\HarddiskVolume2\Windows\System32\LogFiles\SQM\SQMLogger.etl.003
0x000000003defb350      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003df003b0      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Libraries\Documents.library-ms
0x000000003df007a0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003df008f0      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Documents\desktop.ini
0x000000003df01af0      2      0 R--rwd \Device\HarddiskVolume2\Users\Public\Documents\desktop.ini
0x000000003df022e0      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Libraries
0x000000003df024b0      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Libraries
0x000000003df02a20      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Libraries\Pictures.library-ms
0x000000003df03890      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\cscobj.dll
0x000000003df04780      2      0 R--rwd \Device\HarddiskVolume2\Users\Public\Pictures\desktop.ini
0x000000003df04f20      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Pictures\desktop.ini
0x000000003df05320      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Music\desktop.ini
0x000000003df05c80      2      0 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Libraries\Music.library-ms
0x000000003df06070      2      0 R--rwd \Device\HarddiskVolume2\Users\Public\Music\desktop.ini
0x000000003df06b50     16      0 R--r-d \Device\HarddiskVolume2\Windows\Media\Windows Logon Sound.wav
0x000000003df07430     14      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\mshtml.dll
0x000000003df07f20     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Winlogon%4Operational.evtx
0x000000003df08070      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003df09810     16      0 R--r-- \Device\HarddiskVolume2\Windows\explorer.exe
0x000000003df0c070     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Admin.evtx
0x000000003df0c8d0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\radardt.dll
0x000000003df0e250     19      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx
0x000000003df23b00      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mssprxy.dll
0x000000003df27440      4      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\CiPT0000.000
0x000000003df284e0     16      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\CiPT0000.001
0x000000003df2a070      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\bthprops.cpl
0x000000003df2e200     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\tquery.dll.mui
0x000000003df2e670     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\oleaccrc.dll
0x000000003df2e9e0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003df2eb30     33      1 -W-r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\GatherLogs\SystemIndex\SystemIndex.1.Crwl
0x000000003df2edd0     33      1 -W-r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\GatherLogs\SystemIndex\SystemIndex.1.gthr
0x000000003df2f5b0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ieframe.dll
0x000000003df30f20     17      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x000000003df32320      1      1 RW---- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x000000003df327a0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\StikyNot.exe
0x000000003df33220      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ActionCenter.dll
0x000000003df33c80     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\oleacc.dll
0x000000003df38740     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\bthprops.cpl.mui
0x000000003df38890      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003df39070     16      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.chk
0x000000003df432d0     17      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.dir
0x000000003df43910      2      0 R----- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\SETTINGS.DIA
0x000000003df43bd0     16      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.001
0x000000003df45850     16      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\CiST0000.001
0x000000003df459a0     18      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\CiST0000.000
0x000000003df46760     19      1 RWD--- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\tmp.edb
0x000000003df46d10      1      1 RW---- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb
0x000000003df47070     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003df485c0     17      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.dir
0x000000003df48930     17      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.wid
0x000000003df49070     17      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010001.ci
0x000000003df495b0     17      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.ci
0x000000003df49dc0     17      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.wid
0x000000003df4a830     17      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.ci
0x000000003df4abb0     17      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.wid
0x000000003df4af20     17      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.wid
0x000000003df4b2f0      2      0 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\CiAD0002.000
0x000000003df4b5a0     15      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.ci
0x000000003df4ba60     17      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.wsb
0x000000003df4be60     17      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.dir
0x000000003df4c900      2      1 ------ \Device\NamedPipe\MsFteWds
0x000000003df4dab0     16      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\CiAD0002.002
0x000000003df4e070     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mapi32.dll
0x000000003df51070      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\webcheck.dll
0x000000003df52a90      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SyncCenter.dll
0x000000003df54a70      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003df55b30      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003df57300      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003df638d0      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mscoree.dll
0x000000003df63a20      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SearchFilterHost.exe
0x000000003df64f20     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\imapi2.dll
0x000000003df6ff20     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mssph.dll
0x000000003df72070      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\hgcpl.dll
0x000000003df73280     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mssitlb.dll
0x000000003df736e0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ieframe.dll
0x000000003df73890     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\imm32.dll
0x000000003df743f0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003df76070      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003df88f20     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NaturalLanguage6.dll
0x000000003df89070      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mssvp.dll
0x000000003df8af20      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NlsData0009.dll
0x000000003df8b260      2      0 R--r-- \Device\HarddiskVolume2\Windows\winsxs\Manifests\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af.manifest
0x000000003df8b710      2      0 R--r-- \Device\HarddiskVolume2\Windows\winsxs\Manifests\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80.manifest
0x000000003df8bd40      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wow64win.dll
0x000000003df8c590     14      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003df8d2e0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NlsLexicons0009.dll
0x000000003df8ef20      2      0 R--r-- \Device\HarddiskVolume2\Windows\winsxs\Manifests\x86_microsoft.windows.systemcompatible_6595b64144ccf1df_6.0.7600.16385_none_49adccbde8169a03.manifest
0x000000003df8f070     14      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Internet Explorer\iexplore.exe
0x000000003df8fc90     15      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Internet Explorer\iexplore.exe
0x000000003df90350      2      0 R--r-- \Device\HarddiskVolume2\Windows\winsxs\FileMaps\program_files_x86_internet_explorer_cafab575245eacb0.cdf-ms
0x000000003df907b0      2      0 R--r-- \Device\HarddiskVolume2\Windows\winsxs\Manifests\x86_microsoft.windows.c..-controls.resources_6595b64144ccf1df_5.82.7600.16385_en-us_020378a8991bbcc2.manifest
0x000000003df90c10      2      0 R--r-- \Device\HarddiskVolume2\Windows\winsxs\Manifests\x86_microsoft.windows.isolationautomation_6595b64144ccf1df_1.0.0.0_none_35d357a66c38ade4.manifest
0x000000003df91280      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wow64.dll
0x000000003df916e0      2      0 R--r-- \Device\HarddiskVolume2\Windows\winsxs\Manifests\x86_microsoft.windows.i..utomation.proxystub_6595b64144ccf1df_1.0.7600.16385_none_9d148a8db8d32238.manifest
0x000000003df91a90     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wow64cpu.dll
0x000000003df91be0      1      1 R--rw- \Device\HarddiskVolume2\Windows
0x000000003df92500      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000003df93bf0     16      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\oleaccrc.dll
0x000000003df93f20      9      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\oleacc.dll
0x000000003df951d0     12      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\RpcRtRemote.dll
0x000000003df954f0     12      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\nlaapi.dll
0x000000003df9e9c0     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\profapi.dll
0x000000003df9f2a0     10      0 R--r-d \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\comctl32.dll
0x000000003dfa2320      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000003dfa43c0     17      1 RW-rw- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Cookies\index.dat
0x000000003dfa4f20     17      1 RW-rw- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat
0x000000003dfa5a60     11      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\ntmarta.dll
0x000000003dfa6560      8      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\dnsapi.dll
0x000000003dfa78d0      9      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\cryptsp.dll
0x000000003dfa8270     16      0 R--r-- \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5afe4de1b92fc382.customDestinations-ms
0x000000003dfa8f20      9      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\rsaenh.dll
0x000000003dfa9240      4      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\uxtheme.dll
0x000000003dfa9390     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\winnsi.dll
0x000000003dfa9a60     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\IPHLPAPI.DLL
0x000000003dfaa110      9      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\ieui.dll
0x000000003dfaaf20     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\winrnr.dll
0x000000003dfab7f0     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\rasadhlp.dll
0x000000003dfb6290      1      1 R--rw- \Device\HarddiskVolume2\Users\Batou\Desktop
0x000000003dfb6970     11      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\rasapi32.dll
0x000000003dfb74b0     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\sysmain.dll.mui
0x000000003dfc0840     11      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\NapiNSP.dll
0x000000003dfc5f20     11      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\pnrpnsp.dll
0x000000003dfc6070     16      0 R--r-d \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Internet Explorer\frameiconcache.dat
0x000000003dfc9180     16      0 R--r-- \Device\HarddiskVolume2\Windows\Prefetch\PfSvPerfStats.bin
0x000000003dfc9600      1      1 R--rw- \Device\HarddiskVolume2\Windows
0x000000003dfc98d0     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\mswsock.dll
0x000000003dfca7d0     11      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\ieframe.dll
0x000000003dfcab00     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\stdole2.tlb
0x000000003dfcbe90      8      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Internet Explorer\IEShims.dll
0x000000003dfcf430      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a
0x000000003dfcff20     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dfd0d00     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dfd0e50     17      1 RW-rw- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Feeds Cache\index.dat
0x000000003dfd9810      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000003dfd9960     13      0 R--r-- \Device\HarddiskVolume2\Windows\Prefetch\AgRobust.db
0x000000003dfd9ab0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000003dfda560     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\WSHTCPIP.DLL
0x000000003dfdb270     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\msimg32.dll
0x000000003dfdd8c0     13      0 RW---- \Device\HarddiskVolume2\Windows\Prefetch\AgAppLaunch.db
0x000000003dfe29b0     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\wship6.dll
0x000000003dfe2b00      3      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\propsys.dll
0x000000003dfe37c0     18      0 RW-rwd \Device\HarddiskVolume2\$ConvertToNonresident
0x000000003dfe5070     33      1 RW---- \Device\HarddiskVolume2\Users\Batou\AppData\Local\Microsoft\Internet Explorer\Recovery\Active\RecoveryStore.{6CCAFDA7-B579-11E8-9169-000C29B71F00}.dat
0x000000003dfe59f0      1      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x000000003dfea6b0      1      0 RW-rwd \Device\HarddiskVolume2\$PrepareToShrinkFileSize
0x000000003dfeaa20      9      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Internet Explorer\ieproxy.dll
0x000000003dfeae50      1      1 RWDrwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Temp\~DFDFD039AD831EBD59.TMP
0x000000003dfeb460     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\FWPUCLNT.DLL
0x000000003dfeb920     18      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003dfee8b0     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Favorites\desktop.ini
0x000000003dff1520     15      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\jscript.dll
0x000000003dff3dd0     14      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\url.dll
0x000000003dff3f20     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Favorites\Links\desktop.ini
0x000000003e000f20     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\aepic.dll
0x000000003e001710      2      1 R--rwd \Device\HarddiskVolume2\Users\Batou\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned
0x000000003e005730      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ncsi.dll
0x000000003e008070      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Diagnosis\Scheduled
0x000000003e0082f0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sfc.dll
0x000000003e0092b0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\srchadmin.dll
0x000000003e009730     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wwapi.dll
0x000000003e0099d0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\nlasvc.dll
0x000000003e00a6d0      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003e00b520      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sfc_os.dll
0x000000003e010d00      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\srvnet.sys
0x000000003e013330      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\secdrv.sys
0x000000003e016260     11      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Internet Explorer\sqmapi.dll
0x000000003e017430     20      1 RWDr-- \Device\HarddiskVolume2\System Volume Information\tracking.log
0x000000003e0199f0      3      1 RWDrwd \Device\HarddiskVolume2\Users\Batou\AppData\Local\Temp\~DF2CBD22C78B89B7E6.TMP
0x000000003e019d60      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\tcpipreg.sys
0x000000003e01ba50      1      0 RW-rwd \Device\HarddiskVolume2\$PrepareToShrinkFileSize
0x000000003e01bba0      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\winhttp.dll
0x000000003e025ca0     19      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx
0x000000003e02b8d0     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sysmain.dll
0x000000003e02ba20     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mscms.dll
0x000000003e032a90      2      1 ------ \Device\Afd\Endpoint
0x000000003e033c80     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sstpsvc.dll
0x000000003e034e90      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\vssapi.dll
0x000000003e03fd10      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\WMIsvc.dll
0x000000003e0409e0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\provsvc.dll
0x000000003e0411d0     16      0 R--rwd \Device\HarddiskVolume2\Users\Batou\Favorites\Links\Web Slice Gallery.url
0x000000003e04a2d0     11      0 RW-rwd \Device\HarddiskVolume2\$Directory
